암호화요양기호,요양기관명,기타인력코드,기타인력코드명,기타인력수
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,(새)지곡백화점약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzMxIyQxIyQzIyQxMyQyNjE4MzIjNjEjJDEjJDAjJDgz,1(일)약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNTEjJDEjJDIjJDgz,"1,2,3약국",71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQ5IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,1004 약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxOTYxIzIxIyQxIyQ1IyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,100세건강약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzIxIyQyIyQ5IyQwMCQyNjEyMjIjODEjJDEjJDIjJDgz,100세건강약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz,100세약국,71,약사,3
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjNjEjJDEjJDQjJDgz,100세약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,100세약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkOCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQzNjEyMjIjNDEjJDEjJDgjJDgz,100세약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz,100세약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,100세약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNjEjJDEjJDQjJDgz,100약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ5IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,100평 광장약국,71,약사,2
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz,123약국,71,약사,2
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNDEjJDEjJDgjJDgz,123약국,71,약사,8
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjNTEjJDEjJDIjJDgz,123약국,71,약사,1
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQxIyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,123약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzUxIyQxIyQxIyQ2MiQyNjEyMjIjNzEjJDEjJDgjJDgz,123약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ4OSQzNjE4MzIjNDEjJDEjJDQjJDgz,123약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzIxIyQxIyQ5IyQ4MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,13층약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,152약국,71,약사,1
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,153약국,71,약사,1
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,153옵티마약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjEyMjIjNjEjJDEjJDgjJDgz,1898광장약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQ5IyQxMyQzNjE0ODEjNDEjJDEjJDgjJDgz,1등약국,71,약사,3
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,1번약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjE0ODEjNzEjJDEjJDgjJDgz,1번약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQzIyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,1번약국,71,약사,2
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQwMyQzNjE4MzIjNTEjJDEjJDIjJDgz,1번약국,71,약사,3
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNDEjJDEjJDQjJDgz,1번약국,71,약사,2
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkNDgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjEwMDIjNjEjJDEjJDAjJDgz,1번약국,71,약사,5
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ3MiQyNjEyMjIjNDEjJDEjJDgjJDgz,1번약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzExIyQyIyQ3IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz,1번약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,1번약국,71,약사,3
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDYjJDgz,1번약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzExIyQxIyQzIyQ5MiQyNjE4MzIjNjEjJDEjJDgjJDgz,1번출구 새싹약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQzIyQxMyQ0NjEwMDIjODEjJDEjJDYjJDgz,1층가까운약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzUxIyQxIyQxIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,1층메디컬약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQ1IyQ5MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,1층바로약국,71,약사,1
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,1층약국,71,약사,1
